SubID,Sex,Age,Handedness,meanFD
sub-031274,F,72,Right,0.1869597
sub-031275,F,44,Right,0.04835203
sub-031276,F,74,Right,0.09893488
sub-031277,F,60,Right,0.1626229
sub-031278,F,55,Right,0.05254909
sub-031279,M,62,Right,0.06791115
sub-031280,F,65,Right,0.1051337
sub-031281,F,65,Right,0.08121467
sub-031282,F,61,Right,0.04531778
sub-031283,F,58,Right,0.09121729
sub-031284,F,73,Right,0.1193551
sub-031285,M,54,Right,0.0786884
sub-031287,F,72,Right,0.06944868
sub-031288,F,53,Right,0.07547738
sub-031289,M,58,Right,0.1173012
sub-031290,F,53,Right,0.05706697
sub-031291,F,45,Right,0.06752043
sub-031292,F,49,Right,0.06651575
sub-031294,F,48,Right,0.05251847
sub-031295,F,55,Right,0.1605832
sub-031296,F,45,Right,0.1360181
sub-031297,F,56,Right,0.04053609
sub-031298,M,59,Right,0.1295864
sub-031299,M,61,Right,0.0386509
sub-031300,F,61,Right,0.1433046
sub-031301,F,57,Right,0.07145216
sub-031302,F,56,Right,0.153351
sub-031303,M,75,Right,0.03446512
sub-031305,F,59,Right,0.1570977
sub-031306,F,56,Right,0.1044993
sub-031307,F,56,Right,0.155705
sub-031308,M,61,Right,0.05989727
sub-031309,M,62,Right,0.1297522
sub-031310,F,60,Right,0.1624313
sub-031311,M,63,Right,0.1395809
sub-031312,M,74,Right,0.09621572
sub-031313,M,73,Right,0.09475463
sub-031314,M,61,Right,0.1207439
sub-031315,M,52,Right,0.05113629
sub-031316,F,74,Right,0.07783401
sub-031317,M,77,Right,0.07238152
sub-031321,F,74,Right,0.08967763
sub-031322,M,80,Right,0.08777032
sub-031323,F,76,Right,0.1798436
sub-031324,F,57,Right,0.06019047
sub-031325,F,57,Right,0.1682905
sub-031326,F,56,Right,0.04018495
sub-031327,F,63,Right,0.1762409
sub-031328,F,68,Right,0.07266875
sub-031330,M,68,Right,0.1224841
sub-031331,F,63,Right,0.1170517
sub-031332,M,73,Right,0.09663711
sub-031333,F,75,Right,0.1318421
sub-031335,M,63,Right,0.1118426
sub-031336,F,51,Right,0.03866146
sub-031337,F,61,Right,0.1055305
sub-031338,F,57,Right,0.1345705
sub-031339,F,59,Right,0.08703774
sub-031341,M,74,Right,0.1572476
